DATE,TIME,15 W OLIVE ST,HAMILTON SQUARE SHOPPING CTR,1682 N ATHERTON ST,THE BENNER PIKE SHOPS,WEIS MARKET SHOPPING CTR,127 SOUTHRIDGE PLZ
2021-09-22,00:00,9,1317,421,281,10,143
2021-09-22,03:00,9,1317,421,281,10,143
2021-09-22,06:00,9,1317,421,281,10,143
2021-09-22,09:00,8,1298,409,276,4,138
2021-09-22,12:00,8,1298,409,276,4,138
2021-09-22,15:00,8,1298,409,276,4,138
2021-09-22,18:00,8,1298,409,276,4,138
2021-09-22,21:00,8,1298,409,276,4,138
2021-09-23,00:00,8,1298,409,276,4,138
2021-09-23,03:00,,,,,,
2021-09-23,06:00,,,,,,
2021-09-23,09:00,,,,,,
2021-09-23,12:00,,,,,,
2021-09-23,15:00,8,1246,382,274,138,
2021-09-23,18:00,8,1246,382,274,138,
2021-09-23,21:00,8,1246,382,274,138,
2021-09-24,00:00,8,1246,382,274,138,
2021-09-24,03:00,8,1246,382,274,138,
2021-09-24,06:00,8,1246,382,274,138,
2021-09-24,09:00,8,1103,422,263,54,212
2021-09-24,12:00,8,1103,422,263,54,212
2021-09-24,15:00,8,1103,422,263,54,212
2021-09-24,18:00,8,1103,422,263,54,212
2021-09-24,21:00,8,1103,422,263,54,212
2021-09-25,00:00,8,1103,422,263,54,212
2021-09-25,03:00,8,1103,422,263,54,212
2021-09-25,06:00,8,1103,422,263,54,212
2021-09-25,09:00,8,952,333,234,48,196
2021-09-25,12:00,8,952,333,234,48,196
2021-09-25,15:00,8,952,333,234,48,196
2021-09-25,18:00,8,952,333,234,48,196
2021-09-25,21:00,8,952,333,234,48,196
2021-09-26,00:00,8,952,333,234,48,196
2021-09-26,03:00,8,952,333,234,48,196
2021-09-26,06:00,8,952,333,234,48,196
2021-09-26,09:00,8,952,333,234,48,196
2021-09-26,12:00,8,952,333,234,48,196
2021-09-26,15:00,8,952,333,234,48,196
2021-09-26,18:00,8,952,333,234,48,196
2021-09-26,21:00,8,952,333,234,48,196
2021-09-27,00:00,,,,,,
2021-09-27,03:00,8,952,333,234,48,196
2021-09-27,06:00,8,952,333,234,48,196
2021-09-27,09:00,8,884,278,230,47,190
2021-09-27,12:00,8,884,278,230,47,190
2021-09-27,15:00,8,884,278,230,47,190
2021-09-27,15:30,8,884,278,230,47,190
